"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FYPilot API Tests","0","Admin","0","1","admin list announcements — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor group profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty reject request — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin patch milestone — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty reject request — Not found","0"
"0","FYPilot API Tests","0","Jury","0","1","jury assignment status by batch — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor my groups — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin profile — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty admin announcements — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin dashboard insights — Not found","0"
"0","FYPilot API Tests","0","Admin","1","0","admin create milestone — Auth missing","0"
"0","FYPilot API Tests","0","Jury","0","1","delete all assignments — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove cosupervisor — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcements list — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone detail — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","document types (any authenticated) — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list students — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin remove supervisor — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list students — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission list — Not found","0"
"0","FYPilot API Tests","0","Jury","1","0","jury assignment status by batch — Auth missing","0"
"0","FYPilot API Tests","0","Admin","1","0","admin milestones list — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty patch profile — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestones list — Wrong role","0"
"0","FYPilot API Tests","0","Student","1","0","announcements admin — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","document types (any authenticated) — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor group profile — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation detail — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone evaluations — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign cosupervisor — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin proposal evaluation config — Happy path","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty milestone evaluations list — Auth missing","0"
"0","Auth","0","Register","1","0","Successful signup returns JWT and user without secrets","0"
"0","FYPilot API Tests","0","Admin","0","1","admin toggle student active — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestones list — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch milestone — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone evaluations list — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list groups — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list announcements — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","wizard profile — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","milestones list — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty request details — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone by id — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone by id — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission file download — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile update — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","milestones list — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","patch student profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Jury","0","1","jury pairs dropdown — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list faculty — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcement delete — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement by id — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty patch profile — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission responses — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","student profile — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin create milestone — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin faculty profile update — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty dropdown — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestones list — Not found","0"
"0","FYPilot API Tests","0","Student","1","0","dashboard insights — Auth missing","0"
"0","FYPilot API Tests","0","Student","1","0","document types (any authenticated) — Auth missing","0"
"0","FYPilot API Tests","0","Admin","1","0","admin dashboard insights — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","document types (any authenticated) — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty dropdown — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury groups by milestone — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign supervisor — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty profile — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation detail — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch proposal config (disabled by backend) — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury evaluations by milestone — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove supervisor — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestones list — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone detail — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone evaluations list — Happy path","0"
"0","Auth","0","Register","1","0","Validation: signup_missing_email","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove supervisor — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone by id — Happy path","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty jury evaluations by milestone — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation detail — Not found","0"
"0","FYPilot API Tests","0","Jury","0","1","jury assignment status by batch — Invalid body or query","0"
"0","FYPilot API Tests","0","Jury","0","1","patch assignment jury pair — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation update — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcements list — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone evaluations — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list students — Wrong role","0"
